Name,Company,Group,note,ep1 (Theme Song Ranking),ep3,ep5 (Cell),ep5 (Individual),ep8,ep11,ep12
An Jeongmin,TOP Media,K,,30,12,15,17,-,-,-
Cho Haeun,Wake One Entertainment,K,,31,30,33,32,-,-,-
Choi Hyerin,MNH Entertainment,K,,15,27,30,27,-,-,-
Choi Yeyoung,Blockberry Creative,K,,2,10,10,13,-,-,-
Choi Yujin,Cube Entertainment,K,,6,1,1,1,-,-,-
Guinn Myah,TOP Media,K,,27,16,11,9,-,-,-
Han Dana,Individual Trainee,K,,16,31,32,33,-,-,-
Huening Bahiyyih,Individual Trainee,K,,26,5,7,6,-,-,-
Huh Jiwon,FNC Entertainment,K,,11,13,12,11,-,-,-
Jeong Jiyoon,Individual Trainee,K,,5,3,3,15,-,-,-
Joung Min,Blockberry Creative,K,,25,20,23,30,-,-,-
Kang Yeseo,143 Entertainment,K,,13,4,4,2,-,-,-
Kim Bora,FNC Entertainment,K,,3,19,16,12,-,-,-
Kim Chaehyun,Wake One Entertainment,K,,23,7,5,3,-,-,-
Kim Dayeon,Jellyfish Entertainment,K,,1,9,9,7,-,-,-
Kim Doah,FENT,K,,9,6,6,5,-,-,-
Kim Hyerim,Individual Trainee,K,Planet pass in ep5,4,22,20,20,-,-,-
Kim Sein,Individual Trainee,K,,24,17,18,19,-,-,-
Kim Suyeon,Mystic Stoey,K,,19,8,8,8,-,-,-
Kim Yeeun,Fantagio,K,,32,28,25,25,-,-,-
Kim Yubin,Company,K,,29,32,31,31,-,-,-
Lee Chaeyun,FNC Entertainment,K,,17,11,13,16,-,-,-
Lee Hyewon,Beatmedia Entertainment,K,,8,14,14,18,-,-,-
Lee Rayeon,FENT,K,,18,25,27,23,-,-,-
Lee Sunwoo,Evermore Music,K,,12,26,24,24,-,-,-
Lee Yeongyung,S2 Entertainment,K,,33,24,21,22,-,-,-
Lee Yunji,Cube Entertainment,K,,7,29,26,26,-,-,-
Ryu Sion,Blockberry Creative,K,,21,33,29,28,-,-,-
Seo Youngeun,Biscuit Entertainment,K,,10,2,2,4,-,-,-
Sim Seungeun,MNH Entertainment,K,,14,21,22,21,-,-,-
Suh Jimin,Wake One Entertainment,K,,28,23,28,29,-,-,-
Yoon Jia,Yes Im Entertainment,K,,22,18,17,10,-,-,-
You Dayeon,Highline Entertainment,K,,20,15,19,14,-,-,-
Cai Bing,Image Music,C,,28,1,1,3,-,-,-
Chang Ching,Yuehua Entertainment,C,,6,33,29,22,-,-,-
Chen Hsinwei,Yuehua Entertainment,C,,33,10,10,5,-,-,-
Chiayi,FENT,C,,12,13,12,12,-,-,-
Chien Tzuling,Yuehua Entertainment,C,,16,21,22,27,-,-,-
Cui Wenmeixiu,Jaywalk Newjoy,C,,25,25,27,26,-,-,-
Fu Yaning,Gramarie Entertainment,C,,7,8,8,7,-,-,-
Gu Yizhou,Top Class Entertainment,C,,21,29,26,20,-,-,-
Ho Szeching,Individual Trainee,C,,22,30,33,28,-,-,-
Hsu Nientzu,Huang Xingqiao,C,,26,4,4,4,-,-,-
Leung Cheukying,Individual Trainee,C,,3,11,13,21,-,-,-
Li Yiman,Individual Trainee,C,,11,7,5,9,-,-,-
Liang Jiao,GNZ48,C,,31,14,14,10,-,-,-
Liang Qiao,GNZ48,C,,32,20,23,15,-,-,-
Lin Chenhan,Filmko Films,C,,30,31,32,25,-,-,-
Lin Shuyun,M-IDOL Entertainment,C,,29,32,31,30,-,-,-
Liu Shiqi,Jaywalk Newjoy,C,,17,28,25,31,-,-,-
Liu Yuhan,Jaywalk Newjoy,C,,18,27,30,33,-,-,-
Ma Yuling,SNH48,C,,27,22,20,24,-,-,-
Poon Wingchi,Echo Entertainment,C,,20,26,24,29,-,-,-
Shen Xiaoting,Top Class Entertainment,C,,1,2,2,1,-,-,-
Su Ruiqi,ETM Skies,C,,2,3,3,2,-,-,-
Wang Qiuru,SNHR8,C,,19,23,28,32,-,-,-
Wang Yale,Jaywalk Newjoy,C,,13,12,15,13,-,-,-
Wen Zhe,Star Master Entertainment,C,Planet pass in ep5,5,17,18,11,-,-,-
Wu Tammy,Individual Trainee,C,,4,9,9,23,-,-,-
Xia Yan,Individual Trainee,C,,10,24,21,8,-,-,-
Xu Ruowei,Yuehua Entertainmeny,C,,24,15,19,19,-,-,-
Xu Ziyin,T Entertainment,C,,9,6,6,6,-,-,-
Yang Zige,Yuehua Entertainment,C,,15,16,11,17,-,-,-
Zhang Luofei,Gramarie Entertainment,C,,14,19,16,18,-,-,-
Zhou Xinyu,Yuehua Entertainment,C,,23,18,17,14,-,-,-
Ando Rinka,Avex Artist Academy,J,,13,21,22,19,-,-,-
Arai Risako,Biscuit Entertainment,J,,7,6,6,16,-,-,-
Aratake Rinka,Avex Management,J,,30,27,30,20,-,-,-
Ezaki Hikaru,Avex Artist Academy,J,,1,3,3,2,-,-,-
Fujimoto Ayaka,NiD Academy,J,,33,12,15,24,-,-,-
Hayase Hana,FC Entertainment,J,,28,19,16,27,-,-,-
Hayashi Fuko,Bridge Japan INC.,J,,8,20,23,15,-,-,-
Hyajo Nagomi,NiD Academy,J,,17,26,24,17,-,-,-
Ikema Ruan,Cat's Eye Okinawa,J,Planet pass in ep5,29,28,25,14,-,-,-
Inaba Vivienne,Individual Trainee,J,,27,24,21,22,-,-,-
Ito Miyu,N.D. Promotion,J,,31,23,28,12,-,-,-
Kamikura Rei,Individual Trainee,J,,16,15,19,25,-,-,-
Kamimoto Kotone,Individual Trainee,J,,10,16,11,13,-,-,-
Kanno Miyu,Individual Trainee,J,,26,30,33,31,-,-,-
Kawaguchi Yurina,Oscar Promotion,J,,9,2,2,1,-,-,-
Kishida Ririka,FC Entertainment,J,,14,11,13,5,-,-,-
Kitajima Yuna,Individual Trainee,J,,24,31,32,32,-,-,-
Kubo Reina,Individual Trainee,J,,5,10,10,10,-,-,-
Kuwahara Ayana,NiD Acadmy,J,,11,7,5,9,-,-,-
May,FNC Entertainment,J,,12,1,1,4,-,-,-
Murakami Yume,Biscuit Entertainment,J,,4,29,26,23,-,-,-
Nagai Manami,ND Studio,J,,22,14,14,7,-,-,-
Nakamura Kyara,Individual Trainee,J,,32,32,31,33,-,-,-
Nonaka Shana,MLD Entertainment,J,,6,8,8,6,-,-,-
Okazaki Momoko,Individual Trainee,J,,18,17,18,21,-,-,-
Oki Fuka,Bridge Japan INC.,J,,23,25,27,30,-,-,-
Okuma Sumomo,Cat's Eye Okinawa,J,,19,22,20,29,-,-,-
Sakamoto Mashiro,143 Entertainment,J,,2,4,4,3,-,-,-
Sakamoto Shihona,Jellyfish Entertainment,J,,21,5,7,11,-,-,-
Sakurai Miu,Individual Trainee,J,,15,9,9,8,-,-,-
Shima Moka,Individual Trainee,J,,25,18,17,26,-,-,-
Terasaki Hina,Individual Trainee,J,,25,18,17,26,-,-,-
Yamamuchi Miana,NiD Academy,J,,3,13,12,18,-,-,-
